airline,origin_airport,Stopover_Airport,destination_airport,Origin_Departure_Delay,Stopover_Arrival_Delay,Stopover_Departure_Delay,Destination_Arrival_Delay
AA,SFO,MIA,MIA,-3,-11,35,34
VX,SFO,LAX,LAX,14,0,0,-28
AA,SFO,LAX,LAX,-8,-15,-5,-22
VX,SFO,LAX,LAX,-1,11,0,-28
DL,SFO,ATL,ATL,0,-12,35,26
AA,SFO,PHX,PHX,-5,8,33,78
B6,SFO,FLL,FLL,13,10,67,67
VX,SFO,LAX,LAX,0,2,62,40
DL,SFO,ATL,ATL,-1,-18,0,0
VX,SFO,LAX,LAX,-6,-11,66,52
AA,SFO,LAX,LAX,-14,-7,-2,-40
AA,SFO,LAX,LAX,-14,-7,15,6
VX,SFO,LAX,LAX,85,85,20,-12
VX,SFO,LAX,LAX,25,35,20,-12
AA,SFO,LAX,LAX,-6,19,33,3
AA,SFO,LAX,LAX,-6,19,-2,-40
AA,SFO,LAX,LAX,-8,19,33,3
VX,SFO,LAX,LAX,-4,5,20,-12
B6,SFO,FLL,FLL,8,10,0,2
DL,SFO,ATL,ATL,-9,6,-2,-19
AA,SFO,PHX,PHX,-5,-24,-1,-34
DL,SFO,ATL,ATL,2,-8,1,-13
AA,SFO,MIA,MIA,2,-11,-1,-20
VX,SFO,LAX,LAX,5,0,23,-1
AA,SFO,LAX,LAX,1,-10,-7,-34
DL,SFO,ATL,ATL,0,-10,-2,14
VX,SFO,LAX,LAX,6,5,23,-1
DL,SFO,ATL,ATL,2,-11,-2,14
AA,SFO,PHX,PHX,-1,1,-4,-43
AA,SFO,LAX,LAX,-7,-18,-4,-31
AA,SFO,LAX,LAX,-7,-18,19,-3
B6,SFO,FLL,FLL,-2,-13,48,33
B6,SFO,FLL,FLL,-2,-13,87,73
VX,SFO,LAX,LAX,-1,-11,-4,-33
DL,SFO,ATL,ATL,-2,-21,-3,-24
AA,SFO,PHX,PHX,-5,-14,-1,-34
VX,SFO,LAX,LAX,-6,-11,8,-3
AA,SFO,LAX,LAX,-3,-22,-6,-26
AA,SFO,LAX,LAX,-8,-17,-5,-43
AA,SFO,LAX,LAX,-8,-17,-4,-8
VX,SFO,LAX,LAX,23,16,0,-15
VX,SFO,LAX,LAX,-5,-1,0,-15
AA,SFO,LAX,LAX,-3,-14,-5,-18
AA,SFO,LAX,LAX,-3,-14,-5,-43
AA,SFO,LAX,LAX,-6,-18,-5,-18
B6,SFO,FLL,FLL,-1,-8,29,28
DL,SFO,ATL,ATL,-3,-9,-2,-16
DL,SFO,ATL,ATL,-1,-18,-1,-29
AA,SFO,MIA,MIA,2,-13,-5,-7
VX,SFO,LAX,LAX,1,2,-1,-23
DL,SFO,ATL,ATL,2,-8,0,-21
VX,SFO,LAX,LAX,4,8,-1,-23
DL,SFO,ATL,ATL,-1,-23,0,-21
AA,SFO,PHX,PHX,0,-17,-3,-30
AA,SFO,LAX,LAX,0,2,8,19
AA,SFO,LAX,LAX,0,2,-4,-19
B6,SFO,FLL,FLL,121,109,39,35
VX,SFO,LAX,LAX,-4,-10,2,-24
DL,SFO,ATL,ATL,0,-19,-1,-30
AA,SFO,PHX,PHX,0,-16,-8,-33
VX,SFO,LAX,LAX,-3,-7,16,3
AA,SFO,PHX,PHX,-7,-14,0,-15
AA,SFO,LAX,LAX,-3,-6,3,-27
AA,SFO,LAX,LAX,-3,-6,-6,-14
VX,SFO,LAX,LAX,-4,14,2,-12
AA,SFO,LAX,LAX,-3,-9,-3,-12
AA,SFO,LAX,LAX,-3,-9,3,-27
AA,SFO,LAX,LAX,-4,-14,-3,-12
VX,SFO,LAX,LAX,-5,-4,2,-12
B6,SFO,FLL,FLL,0,7,-3,4
DL,SFO,ATL,ATL,74,57,4,-10
AA,SFO,MIA,MIA,3,-14,-1,-18
AA,SFO,PHX,PHX,-3,-17,-4,2
DL,SFO,ATL,ATL,2,-15,-2,-9
AA,SFO,MIA,MIA,17,-7,46,52
VX,SFO,LAX,LAX,0,2,21,6
AA,SFO,LAX,LAX,5,2,30,28
VX,SFO,LAX,LAX,0,-3,21,6
DL,SFO,ATL,ATL,1,-18,52,44
AA,SFO,PHX,PHX,-2,-3,81,52
B6,SFO,FLL,FLL,5,20,85,61
VX,SFO,LAX,LAX,-2,3,82,80
DL,SFO,DTW,DTW,1,11,55,35
DL,SFO,ATL,ATL,-2,-15,57,23
AA,SFO,PHX,PHX,4,-3,36,36
AA,SFO,MIA,MIA,10,-8,-1,-5
VX,SFO,LAX,LAX,-5,-9,0,-6
AA,SFO,LAX,LAX,-3,-11,55,36
AA,SFO,PHX,PHX,-1,-10,2,-7
AA,SFO,LAX,LAX,-5,-4,0,-14
AA,SFO,LAX,LAX,-5,-4,-3,-4
VX,SFO,LAX,LAX,1,-7,-6,-17
AA,SFO,LAX,LAX,-3,-4,-1,11
AA,SFO,LAX,LAX,-3,-4,0,-14
AA,SFO,MIA,MIA,2,-8,2,-17
DL,SFO,ATL,ATL,20,12,1,-29
AA,SFO,PHX,PHX,-3,-7,-2,-6
DL,SFO,ATL,ATL,-4,-16,-5,-31
AA,SFO,MIA,MIA,2,-6,54,31
VX,SFO,LAX,LAX,7,22,8,-10
DL,SFO,ATL,ATL,3,-4,47,31
AA,SFO,PHX,PHX,0,6,-1,-3
DL,SFO,DTW,DTW,-1,-24,66,55
DL,SFO,ATL,ATL,1,-24,3,-11
AA,SFO,PHX,PHX,4,6,19,35
AA,SFO,MIA,MIA,1,22,98,60
VX,SFO,LAX,LAX,146,143,111,102
AA,SFO,PHX,PHX,-3,-14,6,-15
VX,SFO,LAX,LAX,176,215,126,102
AA,SFO,LAX,LAX,12,5,-2,-20
AA,SFO,LAX,LAX,12,5,0,-11
VX,SFO,LAX,LAX,52,65,126,102
AA,SFO,MIA,MIA,89,82,-4,-24
B6,SFO,FLL,FLL,151,155,76,63
DL,SFO,ATL,ATL,167,157,1,-2
DL,SFO,ATL,ATL,176,142,5,-12
AA,SFO,MIA,MIA,113,95,-5,-13
AA,SFO,PHX,PHX,0,-7,33,1
DL,SFO,ATL,ATL,10,-10,35,26
VX,SFO,LAX,LAX,23,17,-1,-41
AA,SFO,LAX,LAX,-2,-13,22,-5
VX,SFO,LAX,LAX,9,16,-1,-41
AA,SFO,PHX,PHX,-2,-4,2,-14
B6,SFO,FLL,FLL,-3,19,-2,1
VX,SFO,LAX,LAX,11,9,4,-21
VX,SFO,LAX,LAX,11,9,36,26
DL,SFO,DTW,DTW,10,-31,29,30
AA,SFO,PHX,PHX,-4,0,-3,-26
VX,SFO,LAX,LAX,-3,-1,15,9
AA,SFO,PHX,PHX,-3,-9,0,-20
AA,SFO,LAX,LAX,-8,2,19,16
VX,SFO,LAX,LAX,10,20,23,36
AA,SFO,LAX,LAX,-5,9,34,14
AA,SFO,MIA,MIA,0,-2,23,9
B6,SFO,FLL,FLL,23,16,1,8
B6,SFO,FLL,FLL,23,16,4,11
DL,SFO,ATL,ATL,-2,-8,10,-6
DL,SFO,ATL,ATL,5,-16,1,-7
AA,SFO,PHX,PHX,-3,-13,6,-31
DL,SFO,ATL,ATL,14,-6,21,12
AA,SFO,LAX,LAX,-6,-9,1,-26
AA,SFO,MIA,MIA,2,-14,-2,10
DL,SFO,ATL,ATL,9,-2,18,8
VX,SFO,LAX,LAX,4,7,8,-13
AA,SFO,PHX,PHX,3,17,13,3
B6,SFO,FLL,FLL,159,164,102,105
VX,SFO,LAX,LAX,24,39,20,2
VX,SFO,LAX,LAX,42,40,20,2
VX,SFO,LAX,LAX,35,23,5,-2
VX,SFO,LAX,LAX,78,66,28,14
AA,SFO,LAX,LAX,28,18,-1,17
AA,SFO,LAX,LAX,28,18,5,5
VX,SFO,LAX,LAX,34,61,28,14
AA,SFO,MIA,MIA,4,-8,-7,-5
DL,SFO,ATL,ATL,68,57,0,-18
B6,SFO,FLL,FLL,178,187,6,22
DL,SFO,ATL,ATL,14,-2,0,-18
DL,SFO,ATL,ATL,6,-7,0,-28
AA,SFO,MIA,MIA,19,6,-3,3
VX,SFO,LAX,LAX,-3,-3,8,-3
DL,SFO,ATL,ATL,-2,-19,0,-14
VX,SFO,LAX,LAX,0,14,8,-3
DL,SFO,ATL,ATL,8,-12,0,-14
AA,SFO,PHX,PHX,26,25,-6,-24
AA,SFO,MIA,MIA,-2,-6,12,-11
VX,SFO,LAX,LAX,-1,4,-7,-5
AA,SFO,PHX,PHX,152,140,4,-17
AA,SFO,PHX,PHX,32,25,4,-17
VX,SFO,LAX,LAX,130,123,54,66
AA,SFO,LAX,LAX,100,97,-2,18
AA,SFO,LAX,LAX,100,97,157,185
VX,SFO,LAX,LAX,17,25,54,66
AA,SFO,MIA,MIA,39,54,-10,-5
DL,SFO,ATL,ATL,156,166,-1,-18
B6,SFO,FLL,FLL,306,300,48,55
DL,SFO,ATL,ATL,57,49,3,-9
AA,SFO,PHX,PHX,-1,-12,30,61
DL,SFO,ATL,ATL,6,12,23,24
AA,SFO,MIA,MIA,-5,-13,31,68
AA,SFO,LAX,LAX,2,17,2,-16
DL,SFO,ATL,ATL,3,0,22,6
AA,SFO,PHX,PHX,17,18,31,39
B6,SFO,FLL,FLL,87,116,33,27
VX,SFO,LAX,LAX,47,45,62,42
AA,SFO,PHX,PHX,30,17,-3,-7
DL,SFO,ATL,ATL,12,9,14,16
VX,SFO,LAX,LAX,0,1,76,58
AA,SFO,PHX,PHX,86,67,3,8
VX,SFO,LAX,LAX,73,59,71,105
VX,SFO,LAX,LAX,73,79,23,27
VX,SFO,LAX,LAX,73,79,71,105
AA,SFO,LAX,LAX,6,0,13,16
VX,SFO,LAX,LAX,2,-13,23,27
VX,SFO,LAX,LAX,2,-13,71,105
AA,SFO,LAX,LAX,61,52,-7,0
AA,SFO,LAX,LAX,61,52,67,75
AA,SFO,MIA,MIA,2,-14,2,-9
B6,SFO,FLL,FLL,193,185,33,24
DL,SFO,ATL,ATL,-5,0,-2,-13
DL,SFO,ATL,ATL,1,-15,-1,-16
AA,SFO,PHX,PHX,-2,-9,4,13
AA,SFO,MIA,MIA,7,19,57,73
DL,SFO,ATL,ATL,31,8,3,-15
VX,SFO,LAX,LAX,-4,1,85,91
VX,SFO,LAX,LAX,1,6,85,91
B6,SFO,FLL,FLL,169,148,75,105
VX,SFO,LAX,LAX,5,-5,2,1
DL,SFO,DTW,DTW,9,-2,128,176
DL,SFO,ATL,ATL,-2,-36,59,129
AA,SFO,PHX,PHX,-6,-18,8,19
AA,SFO,MIA,MIA,-4,-27,50,61
VX,SFO,LAX,LAX,-2,0,45,57
AA,SFO,LAX,LAX,-1,13,-6,-11
AA,SFO,PHX,PHX,2,-10,12,-14
VX,SFO,LAX,LAX,36,30,32,13
VX,SFO,LAX,LAX,2,7,32,13
AA,SFO,LAX,LAX,32,15,-5,-4
AA,SFO,LAX,LAX,32,15,11,-8
VX,SFO,LAX,LAX,-2,-12,18,8
VX,SFO,LAX,LAX,-2,-12,32,13
AA,SFO,LAX,LAX,6,12,-5,-4
AA,SFO,MIA,MIA,12,-14,-5,-1
B6,SFO,FLL,FLL,14,2,-1,3
B6,SFO,FLL,FLL,14,2,-5,-1
DL,SFO,ATL,ATL,-3,-14,26,95
AA,SFO,PHX,PHX,-2,-3,-5,-36
DL,SFO,ATL,ATL,3,-2,114,101
AA,SFO,LAX,LAX,-4,-16,-7,-39
AA,SFO,MIA,MIA,71,42,22,21
DL,SFO,DTW,DTW,10,-24,-4,-16
VX,SFO,LAX,LAX,18,27,-3,-45
DL,SFO,ATL,ATL,-2,-19,114,101
AA,SFO,PHX,PHX,0,-22,17,3
B6,SFO,FLL,FLL,50,50,-1,-6
B6,SFO,FLL,FLL,50,50,7,-5
B6,SFO,FLL,FLL,50,50,141,150
DL,SFO,ATL,ATL,66,45,78,60
AA,SFO,PHX,PHX,7,-10,10,-20
VX,SFO,LAX,LAX,11,11,10,-15
AA,SFO,LAX,LAX,-4,10,48,7
AA,SFO,PHX,PHX,10,-8,4,-27
VX,SFO,LAX,LAX,15,8,6,-8
VX,SFO,LAX,LAX,61,50,6,-8
AA,SFO,MIA,MIA,61,38,-4,-15
B6,SFO,FLL,FLL,-2,0,-2,-15
DL,SFO,ATL,ATL,82,77,0,-17
AA,SFO,PHX,PHX,-3,-18,8,-20
DL,SFO,ATL,ATL,9,-15,1,-14
DL,SFO,ATL,ATL,9,-15,429,425
AA,SFO,MIA,MIA,5,-15,-7,-14
DL,SFO,DTW,DTW,-5,-38,0,-4
VX,SFO,LAX,LAX,3,-2,0,-35
DL,SFO,ATL,ATL,10,5,3,-14
VX,SFO,LAX,LAX,-2,-15,0,-35
DL,SFO,ATL,ATL,15,-5,3,-14
AA,SFO,PHX,PHX,12,-1,19,-19
B6,SFO,FLL,FLL,-2,-4,-9,-17
